"interview__key","y5_hhid","lvstckid","lf02_01","lf02_02","lf02_03","lf02_04_1","lf02_04_2","lf02_05","lf02_06","lf02_07","lf02_08","lf02_09","lf02_10","lf02_11","lf02_12","lf02_13","lf02_14","lf02_15","lf02_16","lf02_17","lf02_18","lf02_19","lf02_20","lf02_21","lf02_22","lf02_23","lf02_24","lf02_25","lf02_26","lf02_27_1","lf02_27_2","lf02_28a","lf02_28b","lf02_29","lf02_30","lf02_31","lf02_32","lf02_33","lf02_34a","lf02_34b","lf02_35_1","lf02_35_2"
"69-87-77-12","1000-001-06",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",9,1,1,1,,3,6,2,,,2,,,2,,,2,,,2,,,1,4,200000,2,,,,,,,2,,,,,,,,
"69-87-77-12","1000-001-06",10,1,0,0,10,0,7,1,2,14000,1,3,1,2,,,2,,,2,,,1,3,15000,2,,,,,,,1,2,1.5,0,,,,,
"69-87-77-12","1000-001-06",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",2,1,1,1,1,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"48-07-72-07","1001-001-01",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",6,1,0,1,1,0,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"48-07-72-07","1001-001-01",7,1,6,12,10,0,6,2,,,2,,,2,,,2,,,2,,,2,,,1,6,360000,1,,4,1,2,,,,,,,,
"48-07-72-07","1001-001-01",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",10,1,0,0,40,0,30,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"48-07-72-07","1001-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",14,1,1,1,1,,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"48-07-72-07","1001-001-01",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-35-70-53","1002-001-01",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-35-70-53","1002-001-01",2,1,4,4,3,0,,2,,,2,,,2,,,2,,,2,,,2,,,1,1,300000,1,2,5,2,2,,,,,,,,
"87-35-70-53","1002-001-01",3,1,2,2,2,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"87-35-70-53","1002-001-01",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-35-70-53","1002-001-01",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-35-70-53","1002-001-01",6,1,0,0,1,0,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"87-35-70-53","1002-001-01",7,1,60,30,40,0,18,2,,,2,,,2,,,2,,,2,,,2,,,1,8,400000,1,2,5,2,2,,,,,,,,
"87-35-70-53","1002-001-01",8,1,12,8,10,0,4,2,,,2,,,2,,,2,,,2,,,2,,,1,2,100000,1,2,5,3,2,,,,,,,,
"87-35-70-53","1002-001-01",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-35-70-53","1002-001-01",10,1,32,16,20,0,16,2,,,2,,,2,,,1,8,40000,2,,,2,,,1,2,20000,1,,5,3,1,2,2,0,,,,,
"87-35-70-53","1002-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-35-70-53","1002-001-01",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-35-70-53","1002-001-01",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-35-70-53","1002-001-01",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-35-70-53","1002-001-01",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-35-70-53","1002-001-01",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-35-70-53","1002-001-01",17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-92-88-29","1003-001-01",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-92-88-29","1003-001-01",2,1,1,3,3,0,,1,1,200000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"90-92-88-29","1003-001-01",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-92-88-29","1003-001-01",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-92-88-29","1003-001-01",5,1,0,1,1,0,0,1,1,100000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"90-92-88-29","1003-001-01",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-92-88-29","1003-001-01",7,1,5,5,5,0,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"90-92-88-29","1003-001-01",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-92-88-29","1003-001-01",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-92-88-29","1003-001-01",10,1,20,30,20,0,10,2,,,2,,,2,,,1,7,42000,2,,,1,2,30000,2,,,,,,,1,2,1.5,0,,,,,
"90-92-88-29","1003-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-92-88-29","1003-001-01",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-92-88-29","1003-001-01",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-92-88-29","1003-001-01",14,1,1,1,1,,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"90-92-88-29","1003-001-01",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-92-88-29","1003-001-01",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-92-88-29","1003-001-01",17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-34-22-80","1005-001-01",1,1,2,3,3,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"16-34-22-80","1005-001-01",2,1,2,3,3,0,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"16-34-22-80","1005-001-01",3,1,2,0,2,0,,1,2,800000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"16-34-22-80","1005-001-01",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-34-22-80","1005-001-01",5,1,1,1,2,0,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"16-34-22-80","1005-001-01",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-34-22-80","1005-001-01",7,1,10,15,22,0,10,2,,,2,,,2,,,2,,,2,,,2,,,1,2,95000,1,2,4,1,1,1,20,0,,,,,
"16-34-22-80","1005-001-01",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-34-22-80","1005-001-01",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-34-22-80","1005-001-01",10,1,20,35,39,0,35,2,,,2,,,1,5,1,1,5,40000,2,,,1,8,34000,1,7,70000,2,,4,1,1,6,1.5,0,,,,,
"16-34-22-80","1005-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-34-22-80","1005-001-01",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-34-22-80","1005-001-01",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-34-22-80","1005-001-01",14,1,2,1,1,,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"16-34-22-80","1005-001-01",15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-34-22-80","1005-001-01",16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-34-22-80","1005-001-01",17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-03-93-27","1006-001-01",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-03-93-27","1006-001-01",2,1,3,3,0,4,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"66-03-93-27","1006-001-01",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-03-93-27","1006-001-01",4,1,2,1,0,1,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"66-03-93-27","1006-001-01",5,1,0,1,0,3,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"66-03-93-27","1006-001-01",6,1,1,1,0,1,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"66-03-93-27","1006-001-01",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-03-93-27","1006-001-01",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-03-93-27","1006-001-01",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-03-93-27","1006-001-01",10,1,20,12,7,0,4,1,2,20000,2,,,1,2,1,1,15,125000,2,,,2,,,1,5,50000,2,,2,1,2,,,,,,,,
"66-03-93-27","1006-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-03-93-27","1006-001-01",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-03-93-27","1006-001-01",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-03-93-27","1006-001-01",14,1,2,1,1,,0,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"66-03-93-27","1006-001-01",15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-03-93-27","1006-001-01",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-03-93-27","1006-001-01",17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-71-16-36","1006-001-03",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-71-16-36","1006-001-03",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-71-16-36","1006-001-03",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-71-16-36","1006-001-03",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-71-16-36","1006-001-03",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-71-16-36","1006-001-03",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-71-16-36","1006-001-03",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-71-16-36","1006-001-03",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-71-16-36","1006-001-03",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-71-16-36","1006-001-03",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-71-16-36","1006-001-03",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-71-16-36","1006-001-03",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-71-16-36","1006-001-03",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-71-16-36","1006-001-03",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-71-16-36","1006-001-03",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-71-16-36","1006-001-03",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-71-16-36","1006-001-03",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-03-21-31","1006-001-04",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-03-21-31","1006-001-04",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-03-21-31","1006-001-04",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-03-21-31","1006-001-04",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-03-21-31","1006-001-04",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-03-21-31","1006-001-04",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-03-21-31","1006-001-04",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-03-21-31","1006-001-04",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-03-21-31","1006-001-04",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-03-21-31","1006-001-04",10,1,0,0,20,0,0,1,20,140000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"93-03-21-31","1006-001-04",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-03-21-31","1006-001-04",12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-03-21-31","1006-001-04",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-03-21-31","1006-001-04",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-03-21-31","1006-001-04",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-03-21-31","1006-001-04",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-03-21-31","1006-001-04",17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-95-83-64","1006-001-05",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-95-83-64","1006-001-05",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-95-83-64","1006-001-05",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-95-83-64","1006-001-05",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-95-83-64","1006-001-05",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-95-83-64","1006-001-05",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-95-83-64","1006-001-05",7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-95-83-64","1006-001-05",8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-95-83-64","1006-001-05",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-95-83-64","1006-001-05",10,1,3,30,15,0,35,2,,,2,,,2,,,1,10,30000,2,,,1,2,6000,1,20,118000,1,2,2,1,1,1,1,0,,,,,
"64-95-83-64","1006-001-05",11,1,0,0,3,0,0,1,3,30000,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,,,,,,,,
"64-95-83-64","1006-001-05",12,1,0,0,1,0,0,1,2,10000,2,,,2,,,1,1,5000,2,,,2,,,2,,,,,,,2,,,,,,,,
"64-95-83-64","1006-001-05",13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-95-83-64","1006-001-05",14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-95-83-64","1006-001-05",15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-95-83-64","1006-001-05",16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-95-83-64","1006-001-05",17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54-26-09-51","1007-001-01",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54-26-09-51","1007-001-01",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54-26-09-51","1007-001-01",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54-26-09-51","1007-001-01",4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54-26-09-51","1007-001-01",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54-26-09-51","1007-001-01",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54-26-09-51","1007-001-01",7,1,15,3,9,0,7,2,,,2,,,2,,,2,,,2,,,2,,,1,1,40000,1,,5,4,2,,,,,,,,
"54-26-09-51","1007-001-01",8,1,0,2,2,0,2,2,,,2,,,2,,,1,1,50000,2,,,2,,,1,1,40000,1,,5,2,2,,,,,,,,
"54-26-09-51","1007-001-01",9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54-26-09-51","1007-001-01",10,1,0,2,7,0,29,2,,,2,,,1,2,1,1,22,50000,2,,,2,,,2,,,,,,,2,,,,,,,,
"54-26-09-51","1007-001-01",11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
