interview__key,hh_a06,y5_hhid,y5_cluster,y5_crossweight,y5_panelweight,y5_rural,clusterid,strataid,domain,loc_info,hh_a01_1,hh_a02_1,hh_a03_1,hh_a03_2,hh_a03_3a,hh_a03_3b,hh_a04_1,hh_a04_2,hh_a05,current_loc_desc,t0_location,y4_hhid,hh_a10,tracking_class,t0_head,t0_headphone,hh_tracking_status,int_month_code,int_month_code2,int_month_year,hh_a18,Int_End,TotInt_Mins,lowest_b06,hh_b1b14,j1_selection,wqt_selection,int_result
68-51-31-95,1058,1058-001-01,02-04-061-05-001,3698.915263,3274.447067,1,20406105001,4,3,1,23,234,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1058-001,1,4,**CONFIDENTIAL**,,,12,12,13,2021-12-16T14:14:58,2021-12-16T16:43:17,148,,1,1,2,1
71-14-80-87,1059,1059-001-01,02-04-061-05-001,3269.790516,3407.256374,1,20406105001,4,3,1,2,24,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1059-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,11,11,12,2021-11-16T09:01:25,2021-11-17T10:45:46,1544,1,2,1,1,1
79-06-68-49,1059,1059-001-03,02-04-061-05-001,3628.177919,3815.778799,1,20406105001,4,3,1,2,24,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1059-001,2,4,**CONFIDENTIAL**,,,11,11,12,2021-11-17T10:44:41,2021-11-17T19:29:56,525,,1,1,2,1
71-40-42-06,1059,1059-001-06,02-04-061-05-001,1780.604505,1292.370693,1,20406105001,4,3,1,13,136,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1059-001,2,4,**CONFIDENTIAL**,,,12,12,13,2021-12-10T15:16:16,2021-12-12T11:15:30,2639,,1,1,2,1
27-54-41-37,1060,1060-001-01,02-04-061-05-001,3315.498608,2798.039625,1,20406105001,4,3,1,2,24,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1060-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,11,11,12,2021-11-16T09:17:15,2021-11-16T13:00:56,223,1,2,1,1,1
50-50-37-47,1061,1061-001-03,02-04-061-05-001,2476.871646,2187.995724,1,20406105001,4,3,1,13,136,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1061-001,2,4,**CONFIDENTIAL**,,,12,12,13,2021-12-10T13:27:21,2021-12-13T21:20:27,4793,,1,1,2,1
25-09-89-03,1062,1062-001-01,02-04-061-05-001,3225.892597,3087.611198,1,20406105001,4,3,1,2,24,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1062-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,11,11,12,2021-11-16T10:51:29,2021-11-16T15:14:54,263,1,1,1,1,1
21-11-75-86,1063,1063-001-01,02-04-061-05-001,723.3380587,901.8149382,1,20406105001,4,3,1,13,136,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1063-001,1,4,**CONFIDENTIAL**,,,12,12,13,2021-12-10T12:45:22,2021-12-11T09:46:35,1261,,1,1,2,1
63-59-38-21,1064,1064-001-01,02-04-061-05-001,4202.91848,3771.962441,1,20406105001,4,3,1,2,24,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1064-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,11,11,12,2021-11-16T08:36:33,2021-11-21T10:51:10,7334,1,2,1,1,1
51-70-28-89,1076,1076-001-01,02-06-011-02-004,3833.259661,3561.897849,1,20601102004,4,3,1,2,26,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1076-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,11,11,12,2021-11-12T10:09:53,2021-11-14T12:46:41,3036,1,2,1,1,1
45-88-08-27,1077,1077-001-01,02-06-011-02-004,3268.710259,3535.404279,1,20601102004,4,3,1,2,26,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1077-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,11,11,12,2021-11-12T10:01:24,2021-11-12T15:50:29,349,1,2,1,1,1
83-42-33-56,1078,1078-001-01,02-06-011-02-004,4357.265867,4004.210109,1,20601102004,4,3,1,2,26,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1078-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,11,11,12,2021-11-12T12:23:49,2021-11-13T12:22:12,1438,1,1,2,2,1
51-38-42-66,1079,1079-001-01,02-06-011-02-004,3228.54668,2810.94704,1,20601102004,4,3,1,2,26,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1079-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,11,11,12,2021-11-12T10:32:26,2021-11-12T17:03:53,391,1,1,1,1,1
70-13-86-62,1080,1080-001-01,02-06-011-02-004,2919.793955,2771.113852,1,20601102004,4,3,1,2,26,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1080-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,11,11,12,2021-11-12T10:19:10,2021-11-12T13:31:37,192,1,2,1,1,1
15-64-51-68,1081,1081-001-01,02-06-011-02-004,2903.386052,2721.709448,1,20601102004,4,3,1,2,26,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1081-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,11,11,12,2021-11-13T11:40:51,2021-11-19T15:46:06,8885,1,2,1,1,1
40-74-76-77,1082,1082-001-01,02-06-011-02-004,4336.664008,4174.666711,1,20601102004,4,3,1,2,26,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1082-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,11,11,12,2021-11-13T11:31:29,2021-11-13T16:19:22,287,1,2,1,2,1
71-92-06-80,1083,1083-001-01,02-06-011-02-004,2488.913551,2164.055904,1,20601102004,4,3,1,2,26,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1083-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,11,11,12,2021-11-13T11:08:28,2021-11-13T17:48:42,400,1,2,1,1,1
91-21-42-14,1095,1095-001-01,02-07-021-02-003,1089.299444,1374.960704,1,20702102003,4,3,1,2,27,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1095-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,2,2,3,2021-02-23T09:06:41,2021-02-23T12:43:31,216,1,,1,2,1
33-55-42-43,1096,1096-001-01,02-07-021-02-003,1753.251049,1475.644409,1,20702102003,4,3,1,2,27,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1096-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,2,2,3,2021-02-22T12:03:38,2021-02-24T21:46:58,3463,1,,1,2,1
38-42-24-05,1096,1096-001-03,02-07-021-02-003,1722.03284,1578.085499,1,20702102003,4,3,1,2,22,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1096-001,2,4,**CONFIDENTIAL**,,,2,2,3,2021-02-23T11:18:24,2021-02-24T21:10:17,2031,,,1,2,1
13-90-80-11,1097,1097-001-01,02-07-021-02-003,528.5263913,623.639342,1,20702102003,4,3,1,2,27,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1097-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,2,2,3,2021-02-22T10:56:24,2021-02-23T09:59:34,1383,1,,1,2,1
84-61-10-62,1097,1097-001-02,02-07-021-02-003,1658.941018,1615.811059,1,20702102003,4,3,1,2,27,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1097-001,2,4,**CONFIDENTIAL**,,,2,2,3,2021-02-23T12:59:46,2021-02-23T14:50:16,110,,,1,2,1
74-62-00-18,1097,1097-001-04,02-07-021-02-003,1506.776704,1456.725142,1,20702102003,4,3,1,2,26,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1097-001,2,4,**CONFIDENTIAL**,,,8,8,9,2021-08-27T13:48:09,2021-08-27T15:55:44,127,,1,1,2,1
12-20-57-63,1098,1098-001-01,02-07-021-02-003,3056.296105,2841.850246,1,20702102003,4,3,1,2,27,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1098-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,2,2,2,3,2021-02-22T14:04:15,2021-02-23T10:50:24,1246,1,,1,2,1
35-42-42-50,1099,1099-001-01,02-07-021-02-003,2702.000892,2523.617526,1,20702102003,4,3,1,2,27,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1099-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,2,2,3,2021-02-22T10:47:13,2021-02-22T15:00:24,253,1,,1,2,1
42-46-16-51,1100,1100-001-01,02-07-021-02-003,1709.382776,1669.644308,1,20702102003,4,3,1,2,27,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1100-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,2,2,3,2021-02-22T10:38:36,2021-02-23T14:14:46,1656,1,,1,2,1
19-26-42-80,1102,1102-001-01,02-07-021-02-003,1495.336657,1645.351977,1,20702102003,4,3,1,2,27,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1102-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,2,2,3,2021-02-22T12:42:51,2021-02-22T15:32:47,169,1,,2,2,1
86-26-96-59,1114,1114-001-01,07-01-022-01-005,1493.816478,1401.080648,2,70102201005,13,1,1,7,74,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1114-001,1,4,**CONFIDENTIAL**,,,10,10,11,2021-10-11T10:50:53,2021-10-20T09:34:42,12883,,,1,2,1
02-37-07-59,1114,1114-001-02,07-01-022-01-005,1842.722092,1758.937881,2,70102201005,13,1,2,7,74,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1114-001,2,1,**CONFIDENTIAL**,**CONFIDENTIAL**,2,10,10,11,2021-10-04T11:43:12,2021-10-07T20:25:10,4841,2,,1,1,1
66-86-03-22,1116,1116-001-01,07-01-022-01-005,2729.562074,2486.154825,2,70102201005,13,1,2,7,74,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1116-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,10,10,11,2021-10-05T13:33:33,2021-10-05T16:46:47,193,1,,1,1,1
93-26-69-75,1118,1118-001-01,07-01-022-01-005,2164.684842,2055.715241,2,70102201005,13,1,2,7,74,22,**CONFIDENTIAL**,1,**CONFIDENTIAL**,5,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1118-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,10,10,11,2021-10-04T11:13:42,2021-10-06T10:48:08,2854,1,,1,1,1
90-93-28-88,1119,1119-001-02,07-01-022-01-005,1958.42001,1935.744107,2,70102201005,13,1,2,7,74,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1119-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,10,10,11,2021-10-04T11:40:54,2021-10-05T11:55:13,1454,2,,1,1,1
88-29-40-91,1120,1120-001-02,07-01-022-01-005,1765.236901,1989.69789,2,70102201005,13,1,1,7,71,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1120-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,2,10,10,11,2021-10-04T11:19:57,2021-10-07T09:49:15,4229,2,,1,1,1
45-81-76-58,1122,1122-001-02,07-01-022-01-005,3455.181645,3389.86061,2,70102201005,13,1,2,7,74,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1122-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,10,10,11,2021-10-04T11:21:42,2021-10-04T20:20:44,539,2,,1,2,1
08-25-45-41,1134,1134-001-01,07-01-042-02-038,2920.336465,2953.233598,2,70104202038,13,1,1,18,186,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1134-001,2,4,**CONFIDENTIAL**,,,12,12,13,2021-12-20T10:26:50,2021-12-20T16:45:29,378,,1,1,2,1
43-81-40-33,1134,1134-001-03,07-01-042-02-038,3568.992259,3837.595199,2,70104202038,13,1,1,7,71,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,**CONFIDENTIAL**,1134-001,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,10,10,11,2021-10-07T11:25:02,2021-10-09T13:46:13,3021,3,,1,1,1
