"interview__key","y5_hhid","itemcode","hh_ja01","hh_ja02_1","hh_ja02_2","hh_ja02a_1","hh_ja02b_1","hh_ja02b_2","hh_ja03_1","hh_ja03_2","hh_ja04","hh_ja05_1","hh_ja05_2","hh_ja06_1","hh_ja06_2","hh_ja07","hh_ja08_1","hh_ja08_2","hh_ja08_9","hh_ja09_1","hh_ja09_2"
"97-90-78-65","1000-001-03",7021,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",7022,1,5,5,2,2,5000,2,500,500,,0,,0,1,,,,2,750
"97-90-78-65","1000-001-03",7023,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",7031,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",7032,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",7033,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",8041,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",8042,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",8081,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",8082,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",8083,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",8084,2,,,,,,,,,,,,,,,,,,
"97-90-78-65","1000-001-03",11011,1,5,5,2,2,25,5,5,500,,0,,0,2,1,0,0,,
"97-90-78-65","1000-001-03",11021,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",101,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",102,1,1,3,,,,1,3,4800,,0,,0,,,,,,
"69-87-77-12","1000-001-06",103,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",104,1,1,1.5,,,,,0,,1,1.5,,0,,,,,,
"69-87-77-12","1000-001-06",105,1,1,1,,,,,0,,1,1,,0,,,,,,
"69-87-77-12","1000-001-06",106,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",107,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",109,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",111,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",112,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",201,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",202,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",203,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",204,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",205,1,11,1,,1,2,11,1,1000,,0,,0,2,1,0,0,,
"69-87-77-12","1000-001-06",206,1,7,4,2,1,3,,0,,7,4,,0,2,1,0,0,,
"69-87-77-12","1000-001-06",207,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",301,1,2,500,,,,2,500,1300,,0,,0,,,,,,
"69-87-77-12","1000-001-06",302,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",303,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",501,1,1,1,,,,,0,,2,1,,0,,,,,,
"69-87-77-12","1000-001-06",502,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",503,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",504,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",603,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",701,1,5,10,2,1,1.5,5,10,1000,,0,,0,2,1,0,0,,
"69-87-77-12","1000-001-06",704,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",801,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",802,1,1,1,,,,1,1,6000,,0,,0,,,,,,
"69-87-77-12","1000-001-06",803,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",805,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",806,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",807,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",809,1,6,1,,2,100,6,1,500,,0,,0,,,,,,
"69-87-77-12","1000-001-06",810,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",901,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",902,1,3,1,,,,,0,,,0,3,1,,,,,,
"69-87-77-12","1000-001-06",903,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",1001,1,4,500,,,,4,500,2500,,0,,0,,,,,,
"69-87-77-12","1000-001-06",1002,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",1003,1,2,167,,,,2,167,200,,0,,0,,,,,,
"69-87-77-12","1000-001-06",1004,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",1081,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",1082,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",1101,1,2,10,,,,2,10,100,,0,,0,,,,,,
"69-87-77-12","1000-001-06",1102,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",1103,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",1104,1,4,800,,,,4,800,1000,,0,,0,,,,,,
"69-87-77-12","1000-001-06",1105,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",1106,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",1107,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",1108,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",4011,1,2,500,,,,,0,,,0,2,500,,,,,,
"69-87-77-12","1000-001-06",4012,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",4013,1,1,3,,,,,0,,1,3,,0,,,,,,
"69-87-77-12","1000-001-06",6011,1,6,1,3,2,500,6,1,500,,0,,0,2,1,0,0,,
"69-87-77-12","1000-001-06",6012,1,11,1,,1,1,11,1,500,,0,,0,2,1,0,0,,
"69-87-77-12","1000-001-06",6013,1,6,1,,2,500,6,1,500,,0,,0,,,,,,
"69-87-77-12","1000-001-06",6021,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",6022,1,6,3,2,1,1.5,6,3,1500,,0,,0,2,1,0,0,,
"69-87-77-12","1000-001-06",6023,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",7021,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",7022,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",7023,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",7031,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",7032,1,5,6,2,1,1.5,,0,,,0,5,6,2,1,0,0,,
"69-87-77-12","1000-001-06",7033,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",8041,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",8042,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",8081,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",8082,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",8083,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",8084,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",11011,2,,,,,,,,,,,,,,,,,,
"69-87-77-12","1000-001-06",11021,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",101,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",102,1,1,3,,,,1,3,4500,,0,,0,,,,,,
"48-07-72-07","1001-001-01",103,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",104,1,1,10,,,,,0,,1,10,,0,,,,,,
"48-07-72-07","1001-001-01",105,1,1,4,,,,,0,,1,4,,0,,,,,,
"48-07-72-07","1001-001-01",106,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",107,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",109,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",111,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",112,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",201,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",202,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",203,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",204,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",205,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",206,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",207,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",301,1,1,1,,,,1,1,2500,,0,,0,,,,,,
"48-07-72-07","1001-001-01",302,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",303,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",501,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",502,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",503,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",504,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",603,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",701,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",704,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",801,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",802,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",803,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",805,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",806,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",807,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",809,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",810,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",901,1,3,10,,,,3,10,10000,,0,,0,,,,,,
"48-07-72-07","1001-001-01",902,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",903,2,,,,,,,,,,,,,,,,,,
"48-07-72-07","1001-001-01",1001,1,3,1,,,,3,1,5000,,0,,0,,,,,,
